# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:(.)Omega_m            15:(.)Omega_r            16:(.)rho_scf            17:(.)p_scf              18:(.)p_prime_scf        19:phi_scf               20:phi'_scf              21:V_scf                 22:V'_scf                23:V''_scf               24:w_scf                 25:Omega_scf             26:(.)rho_tot            27:(.)p_tot              28:(.)p_tot_prime        29:gr.fac. D             30:gr.fac. f          
       1.000000000000e+14       7.559518509157e-26       4.634785000235e-09       2.157256292802e+22       1.372907495785e+04       1.372907495785e-10       1.372907495785e+18       2.676317464532e-09       2.751560535470e+44       2.488998175392e+33       1.335180067264e+34       1.902194177205e+44       4.653754712833e+44       3.403874897908e-11       9.999999999660e-01       4.624306690855e+04      -4.622453611409e+04      -1.199270188372e+10      -4.583040000000e+00       7.456030000000e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.995992741033e-01       9.936722015242e-41       4.653754712833e+44       1.551251570892e+44      -1.338578885210e+53       8.014077590815e-06       2.000000000000e+00 
       9.893085837570e+13       7.723792189600e-26       4.685716703534e-09       2.111374631024e+22       1.372907495785e+04       1.387744449332e-10       1.358229170285e+18       2.705240315054e-09       2.635761930281e+44       2.410015912154e+33       1.292811396775e+34       1.822140902098e+44       4.457902832533e+44       3.440660430723e-11       9.999999999656e-01       4.624248820899e+04      -4.622511481365e+04      -1.112344927549e+10      -4.583040000000e+00       7.297451229886e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.996242979994e-01       1.037314852884e-40       4.457902832533e+44       1.485967610793e+44      -1.268536174643e+53       8.186363911810e-06       1.957908951317e+00 
       9.787314738953e+13       7.891635648215e-26       4.736648406833e-09       2.066468804568e+22       1.372907495785e+04       1.402741745211e-10       1.343707776872e+18       2.734475733318e-09       2.524836674885e+44       2.333539957667e+33       1.251787192311e+34       1.745456645219e+44       4.270293320252e+44       3.477843503243e-11       9.999999999652e-01       4.624194565393e+04      -4.622565736870e+04      -1.031720166439e+10      -4.583040000000e+00       7.142245197981e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.996477595179e-01       1.082875160697e-40       4.270293320252e+44       1.423431106701e+44      -1.202158531080e+53       8.358650232802e-06       1.917553042092e+00 
       9.682674483178e+13       8.063126463851e-26       4.787580110133e-09       2.022518058854e+22       1.372907495785e+04       1.417901116237e-10       1.329341637720e+18       2.764027097523e-09       2.418579675807e+44       2.259490780358e+33       1.212064790536e+34       1.671999622440e+44       4.090579298390e+44       3.515428411663e-11       9.999999999648e-01       4.624143698586e+04      -4.622616603677e+04      -9.569392329996e+09      -4.583040000000e+00       6.990340169493e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.996697561736e-01       1.130437368714e-40       4.090579298390e+44       1.363526432749e+44      -1.139254175590e+53       8.530936553793e-06       1.878827146424e+00 
       9.579152979933e+13       8.238343896292e-26       4.838511813432e-09       1.979502080722e+22       1.372907495785e+04       1.433224313947e-10       1.315129092942e+18       2.793897822082e-09       2.316794470871e+44       2.187791372395e+33       1.173602881928e+34       1.601634016574e+44       3.918428487584e+44       3.553419498607e-11       9.999999999645e-01       4.624096008826e+04      -4.622664293438e+04      -8.875785560623e+09      -4.583040000000e+00       6.841665936825e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.996903793984e-01       1.180089421940e-40       3.918428487584e+44       1.306142829148e+44      -1.079641364298e+53       8.703222874785e-06       1.841634462573e+00 
       9.476738268169e+13       8.417368927799e-26       4.891262506135e-09       1.937400989045e+22       1.372907495785e+04       1.448713108809e-10       1.301068500397e+18       2.824091358310e-09       2.219292865953e+44       2.118367169600e+33       1.136361467823e+34       1.534229726263e+44       3.753522592351e+44       3.591821153629e-11       9.999999999641e-01       4.624051297680e+04      -4.622709004584e+04      -8.232452656462e+09      -4.583040000000e+00       6.696153785521e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.997097149211e-01       1.231923129250e-40       3.753522592351e+44       1.251174197405e+44      -1.023147863295e+53       8.875509195776e-06       1.805885705039e+00 
       9.375418514718e+13       8.600284299644e-26       4.944013198838e-09       1.896195325534e+22       1.372907495785e+04       1.464369290427e-10       1.287158235498e+18       2.854611194810e-09       2.125894587024e+44       2.051145973909e+33       1.100301818816e+34       1.469662125423e+44       3.595556712578e+44       3.630637813722e-11       9.999999999637e-01       4.624009379109e+04      -4.622750923155e+04      -7.635749678573e+09      -4.583040000000e+00       6.553736463257e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.997278431226e-01       1.286034333135e-40       3.595556712578e+44       1.198518904149e+44      -9.696104510082e+52       9.047795516766e-06       1.771498388955e+00 
       9.275182012925e+13       8.787174551554e-26       4.998582880944e-09       1.855866045754e+22       1.372907495785e+04       1.480194667740e-10       1.273396691032e+18       2.885460857898e-09       2.036426946831e+44       1.986057878284e+33       1.065386434484e+34       1.407811832824e+44       3.444238779782e+44       3.669873963827e-11       9.999999999633e-01       4.623970078694e+04      -4.622790223570e+04      -7.082296806182e+09      -4.583040000000e+00       6.414348147656e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.997448393686e-01       1.342523086912e-40       3.444238779782e+44       1.148079593218e+44      -9.188744466288e+52       9.220081837756e-06       1.738396194692e+00 
       9.176017181296e+13       8.978126060456e-26       5.051333573647e-09       1.816394510313e+22       1.372907495785e+04       1.496191069241e-10       1.259782276966e+18       2.916643911997e-09       1.950724525616e+44       1.923035194018e+33       1.031579004390e+34       1.348564491358e+44       3.299289017096e+44       3.709534137356e-11       9.999999999629e-01       4.623933232911e+04      -4.622827069353e+04      -6.568959193834e+09      -4.583040000000e+00       6.277924416224e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.997607743230e-01       1.401493839718e-40       3.299289017096e+44       1.099763005658e+44      -8.707932632011e+52       9.392368158746e-06       1.706508402415e+00 
       9.077912562158e+13       9.173227080041e-26       5.105903255753e-09       1.777762476255e+22       1.372907495785e+04       1.512360343179e-10       1.246313420267e+18       2.948163960044e-09       1.868628865258e+44       1.862012380337e+33       9.988443703192e+33       1.291810556602e+44       3.160439421979e+44       3.749622916711e-11       9.999999999625e-01       4.623898688447e+04      -4.622861613817e+04      -6.092829215743e+09      -4.583040000000e+00       6.144402216850e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.997757142403e-01       1.463055629635e-40       3.160439421979e+44       1.053479807287e+44      -8.252279841044e+52       9.564654479735e-06       1.675769387742e+00 
